date,EmbLagunaChica,EmbLagunaGrande,EmbSantaJuana
1992-04-01,-0.017134009394794703,-0.026192462537437677,-0.007764655631035566
1992-05-01,-0.009604259859770536,-0.013675154186785221,-0.0065966821275651455
1992-06-01,0.0,0.0,-0.007274235133081675
1992-07-01,0.0,0.0,-0.008110262919217348
1992-08-01,0.0,0.0,-0.0055556390434503555
1992-09-01,0.0,0.0,-0.0061013600789010525
1992-10-01,-0.031068967655301094,-0.048068003728985786,-0.0008484283462166786
1992-11-01,-0.05994997825473547,-0.06839342229068279,-0.0038597863167524338
1992-12-01,-0.042426259722560644,-0.028773631434887648,-0.0008206130005419254
1993-01-01,-0.05465759290382266,-0.055970008950680494,-0.0036664386279881
1993-02-01,-0.03817784832790494,-0.03743810160085559,-0.0015330989845097065
1993-03-01,-0.02314572548493743,-0.021145225502550602,-0.0007909410633146763
1993-04-01,-0.016423471737653017,-0.01508145360276103,-0.0007498254999518394
1993-05-01,-0.007191713433712721,-0.010234801098704338,-0.0008392226882278919
1993-06-01,0.0,-0.0017136260867118835,-0.0018605324439704418
1993-07-01,0.0,-0.0008462583646178246,-0.004999540746212006
1993-08-01,0.0,-0.01345671946182847,-0.0031847129575908184
1993-09-01,-0.024698949418962002,-0.03671437967568636,-0.00372813967987895
1993-10-01,-0.02818689262494445,-0.02667907625436783,-0.0011440650559961796
1993-11-01,-0.010276262182742357,-0.006662138272076845,-0.0003332612104713917
1993-12-01,-0.007663598284125328,-0.006880608387291431,-0.0003158389590680599
1994-01-01,-0.024395158514380455,-0.025139812380075455,-0.0010494394227862358
1994-02-01,-0.009827854577451944,-0.009879692923277617,-0.00030506914481520653
1994-03-01,-0.027043061330914497,-0.03076543379575014,-0.000386552419513464
1994-04-01,-0.0076832338236272335,-0.007874936331063509,-0.0001762574538588524
1994-05-01,-0.004966923967003822,-0.0053400322794914246,-0.00012224912643432617
1994-06-01,-0.0054863267578184605,-0.00396356638520956,-0.00035397475585341454
1994-07-01,-0.0059874034486711025,-0.006711120717227459,-0.006589509546756744
1994-08-01,0.0,0.0,-0.006484484300017357
1994-09-01,-0.01571866823360324,-0.03128013759851456,-0.0013737808912992477
1994-10-01,-0.04308207659050822,-0.042067003436386585,-0.0011905166320502758
1994-11-01,-0.030006563756614923,-0.03139592939987779,-0.0013231555931270123
1994-12-01,-0.013112982735037804,-0.014035903848707676,-0.0002765958197414875
1995-01-01,-0.0236728610470891,-0.023397362791001797,-0.0024462160654366016
1995-02-01,-0.0273939473554492,-0.02757214568555355,-0.0013168887235224247
1995-03-01,-0.005068511236459017,-0.00654002046212554,-0.00021154806017875671
1995-04-01,-0.008146305102854967,-0.008341757580637932,-0.00041515519842505455
1995-05-01,-0.01348586706444621,-0.012082936707884073,-0.0021599051542580128
1995-06-01,-0.014321687631309032,-0.015441646333783865,-0.0017235861159861088
1995-07-01,-0.005858913995325565,-0.009469352662563324,-0.0025837793946266174
1995-08-01,-0.016769833862781525,-0.016419630963355303,-0.0007480052299797535
1995-09-01,-0.001085876952856779,-0.0012377663515508175,-0.004617325495928526
1995-10-01,-0.02644248493015766,-0.042052694130688906,-0.0006575467996299267
1995-11-01,-0.03372422605752945,-0.027678574435412884,-0.000337488017976284
1995-12-01,-0.027969843242317438,-0.024899380281567574,-0.0007619871757924557
1996-01-01,-0.06147628463804722,-0.07134663825854659,-0.0034383516758680344
1996-02-01,-0.010529030580073595,-0.013540763407945633,-0.00033353688195347786
1996-03-01,-0.014642069581896067,-0.016988294199109077,-0.00026123831048607826
1996-04-01,-0.02775947842746973,-0.0268727857619524,-0.0023306431248784065
1996-05-01,-0.008107859641313553,-0.010987470857799053,-0.0001617935486137867
1996-06-01,-0.002528389450162649,-0.0029232376255095005,-0.003422768320888281
1996-07-01,-0.0050802649930119514,-0.008531077299267054,-0.0035848114639520645
1996-08-01,-0.0019560265354812145,-0.002996742259711027,-0.008103420492261648
1996-09-01,-0.024322684854269028,-0.035500212106853724,-0.002713287714868784
1996-10-01,-0.017467873636633158,-0.026983678340911865,-0.002008652314543724
1996-11-01,-0.00958239147439599,-0.011974012944847345,-0.00034681567922234535
1996-12-01,-0.0058361561968922615,-0.009687250014394522,-0.00032204529270529747
1997-01-01,-0.028189622331410646,-0.03524117637425661,-0.0016496502794325352
1997-02-01,-0.015760337002575397,-0.01933365035802126,-0.00033613014966249466
1997-03-01,-0.03132774028927088,-0.04438588721677661,-0.0022124922834336758
1997-04-01,-0.0049958620220422745,-0.006182277575135231,-0.00015804823487997055
1997-05-01,-0.0007269647903740406,-0.0008603627793490887,-0.0021077929995954037
1997-06-01,0.0,0.0,-0.006821383256465197
1997-07-01,0.0,0.0,-0.00851653702557087
1997-08-01,0.0,0.0,-0.009826672729104757
1997-09-01,0.0,0.0,-0.01104307034984231
1997-10-01,0.0,0.0,-0.010074816644191742
1997-11-01,0.0,-0.00811023823916912,-0.0008866903372108936
1997-12-01,-0.056744929403066635,-0.06544893840327859,-0.001062639057636261
1998-01-01,-0.053191146813333035,-0.02450213674455881,-0.00046636536717414856
1998-02-01,-0.04526282288134098,-0.03592589125037193,-0.0037490753456950188
1998-03-01,-0.0411060000769794,-0.03236714377999306,-0.0017999671399593353
1998-04-01,-0.020542810205370188,-0.019255261402577162,-0.0017684637568891048
1998-05-01,-0.016761135309934616,-0.020109871868044138,-0.0019264058209955692
1998-06-01,-0.0027226917445659637,-0.0051606884226202965,-0.005191918462514877
1998-07-01,0.0,0.0,-0.004702254664152861
1998-08-01,0.0,0.0,-0.002183864824473858
1998-09-01,-0.0019866344518959522,-0.015410703141242266,-0.0011787381954491138
1998-10-01,-0.04923541424795985,-0.05063435807824135,-0.0009693074971437454
1998-11-01,-0.019920016638934612,-0.01728758215904236,-0.0005104951560497284
1998-12-01,-0.024643268436193466,-0.02557988604530692,-0.0007033706642687321
1999-01-01,-0.03076763916760683,-0.026504404842853546,-0.0017593060620129108
1999-02-01,-0.03224011743441224,-0.03569656889885664,-0.0013652443885803223
